작성일,종목명,종목코드,제목,적정가격,평가의견,작성자,작성기관,세부내용
2023-06-27,삼성전자,005930,주가 Underperform에서 벗어날 듯,"95,000",Buy,송명섭,하이투자증권,삼성전자(005930) 주가 Underperform에서 벗어날 듯2Q23 매출과 영업이익을 전분기 대비 둔화되는 59.2조원과 552억으로 전망
2023-06-15,인터플렉스,051370,삼성전자와 구글의 XR 기기 진출 전망 수혜,"15,000",Buy,박강호,대신증권,"인터플렉스(051370) 삼성전자와 구글의 XR 기기 진출 전망, 수혜 ~2024년 삼성전자(구글도) XR기기 진출, 애플과 양강 구도, 수혜 예상"
2023-05-10,삼성전자,005930,AI 서비스 고도화에 따른 중장기 수혜 전망,"90,000",Buy,백길현,유안타증권,삼성전자(005930)  AI 서비스 고도화에 따른 중장기 수혜 전망AI 서비스 고도화에 따른 중장기 수혜 전망
2023-04-28,삼성전자,005930,유지경성,"90,000",Buy,백길현,유안타증권,삼성전자(005930) 유지경성(有志竟成)1Q23 Review
2023-04-28,삼성전자,005930,감산 구체화 생략 오히려 나비효과 예상,"79,000",Buy,김선우,메리츠증권,"삼성전자(005930) 감산 구체화 생략, 오히려 ‘나비효과’ 예상1Q23 영업이익 0.6조원. 구체화된 감산 계획은 미제시했으나…"
2023-04-10,삼성전자,005930,업황이 나쁠수록 감산은 확대된다,"83,400",Buy,송명섭,하이투자증권,삼성전자(005930) 업황이 나쁠수록 감산은 확대된다.업황이 나쁠수록 감산은 확대된다.
2023-04-10,삼성전자,005930,생산을 줄이면 살아난다,"78,000",Buy,"이승우,임소정",유진투자증권,삼성전자(005930) 死卽生 (생산을 줄이면 살아난다)死卽生 (생산을 줄이면 살아난다)
2023-04-10,삼성전자,005930,1Q23 잠정실적 리뷰,0,N/A,김광진,한화투자증권,삼성전자(005930) 삼성전자 : 1Q23 잠정실적 리뷰‘의미있는 수준의 감산’ 언급의 의미
2023-04-10,삼성전자,005930,1Q23P Samsung Pivot 발생 그 이후,0,N/A,김선우,메리츠증권,"삼성전자(005930) 1Q23P - Samsung Pivot 발생, 그 이후?부진한 실적 속 급작스런 Samsung Pivot 발생 부문별 실적 살펴보기"
2023-03-30,삼성전자,005930,수익성 추구 전략의 당위성 점증,"80,000",Buy,한동희,SK증권,삼성전자(005930) 수익성 추구 전략의 당위성 점증1Q23 영업이익 0.3 조원 (-93% QoQ) 예상 2023 년 영업이익 4.3 조원 (-90% YoY) 전망. 실적 저점은 2Q23
2023-03-23,삼성전자,005930,바닥을 지나는 중,"82,000",Buy,김광진,한화투자증권,삼성전자(005930) 바닥을 지나는 중1Q23 Preview : MX만 선방 바닥을 지나는 중
2023-03-20,삼성전자,005930,경기선행지표 반등 Vs 업황 악화 최고조,"75,000",Buy,송명섭,하이투자증권,삼성전자(005930) 경기선행지표 반등 Vs 업황 악화 최고조경기선행지표 반등 Vs 업황 악화 최고조
2023-03-15,삼성전자,005930,뻔하지만 당연한 최고의 선택,"80,000",Buy,위민복,대신증권,"삼성전자(005930) 뻔하지만 당연한 최고의 선택투자의견 매수, 목표주가 80,000원 유지 보수적인 공급기조 추가 확대 전망. 인위적인 감산 가능성↑ 감산을 하더라도 다운턴을 통해 상대적인 매력은 더욱 증가"
2023-03-14,삼성전자,005930,깊은 반도체 적자의 골짜기,"72,000",Buy,이승우,유진투자증권,삼성전자(005930) 깊은 반도체 적자의 골짜기1Q23 Preview: 영업이익 0.8 조원으로 예상보다 훨씬 부진할 듯 반도체 실적 개선을 위해서는 깊은 적자의 골짜기를 건너야
2023-02-08,가온칩스,399720,삼성전자 파운드리 사업에 날개를 달아주는 곳,0,NotRated,"김경민, 이나연",한국IR협의회,가온칩스(399720) 삼성전자 파운드리 사업에 날개를 달아주는 곳비메모리 반도체 분야의 디자인 솔루션 파트너 기업 TSMC를 위한 디자인 솔루션 파트너 기업들은 대규모 매출 기록 삼성전자 파운드리 사업부에 날개를 달아 주며 동반 성장 기대
2023-02-02,삼성전자,005930,투자 축소 감산보다 수요 회복에 대한 전망이 중요,"82,000",Buy,김광진,한화투자증권,"삼성전자(005930) 투자 축소, 감산보다 수요 회복에 대한 전망이 중요투자 축소, 감산보다 수요 회복에 대한 전망이 중요"
2023-02-01,삼성전자,005930,좀더 구체화된 감산 계획,"75,000",Buy,송명섭,하이투자증권,삼성전자(005930) 좀더 구체화된 감산 계획매수 투자의견 및 목표주가 유지 4Q22 에 메모리 반도체 부문 적자 전환 1 Q23 영업이익 1.9 조원 전망
2023-02-01,삼성전자,005930,우보만리,"90,000",Buy,백길현,유안타증권,"삼성전자(005930) 우보만리(牛步萬里)4Q22 메모리 반도체 적자 전환 1Q23 예상 영업이익 2.1조원 투자의견 BUY, 목표주가 9만원 유지"
2023-02-01,삼성전자,005930,감산인 듯 감산 아닌 감산 같은,"72,000",Buy,"이승우, 임소정",유진투자증권,삼성전자(005930) 감산인 듯 감산 아닌 감산 같은…4 분기 실적 Review “단기 구간 의미있는 비트 영향이 불가피” = “減産” 이제는 呼減産을 許해야 할 때
2023-02-01,삼성전자,005930,반도체 부진 장기화 모바일 1분기 개선,"70,000",Buy,김운호,IBK투자증권,"삼성전자(005930) 반도체 부진 장기화, 모바일 1분기 개선4분기 전방 산업 모두 기대 보단 부진 1분기 반도체: 비, 디스플레이: 흐림, 모바일: 맑음 투자의견 매수, 목표주가 70,000원 유지"
2023-02-01,삼성전자,005930,격차에 집중 이후 2Q Samsung Pivot,"79,000",Buy,김선우,메리츠증권,"삼성전자(005930) 격차에 집중, 이후 2Q Samsung Pivot4Q22 영업이익 4.3조원. 실적발표 코멘트는 당사 시각과 일치 분기별 실적은 2Q23까지 둔화 지속. 이후 하반기 개선세 진입 동사 주가의 구조적 반등은 1) 메모리 전략 변화, 2) 현금 활용 구체화"
2023-01-11,삼성전자,005930,4분기 잠정 실적은 예상치 하회,"70,000",Buy,김운호,IBK투자증권,삼성전자(005930) 4분기 잠정 실적은 예상치 하회4분기 잠정 실적은 예상치 하회
2023-01-09,삼성전자,005930,Dynamic Random Access Earnings,"72,000",Buy,이승우,유진투자증권,삼성전자(005930) Dynamic Random Access EarningsDynamic Random Access Earnings
2023-01-09,삼성전자,005930,탄광 속 카나리아 Bad is NOT Good,"65,000",Buy,위민복,대신증권,"삼성전자(005930) 탄광 속 카나리아, Bad is NOT Good탄광 속 카나리아, Bad is NOT Good"
2023-01-09,삼성전자,005930,고진감래,"90,000",Buy,백길현,유안타증권,"삼성전자(005930) 고진감래(苦盡甘來)4Q22 잠정 실적 발표 투자의견 BUY, 목표주가 9만원 유지"
2023-01-09,삼성전자,005930,4Q22 잠정실적 리뷰,"82,000",Buy,김광진,한화투자증권,삼성전자(005930) 4Q22 잠정실적 리뷰4Q22 잠정실적 Review : 전 사업부 기대치 하회 1Q23 실적 부진 지속 예상
2023-01-09,삼성전자,005930,실적 부진은 Samsung Pivot 의 필요 조건,0,N/A,김선우,메리츠증권,삼성전자(005930) 실적 부진은 Samsung Pivot 의 필요 조건실적 부진은 Samsung Pivot 의 필요 조건 반도체 중심 전사적 실적 둔화와 가까워지는 Samsung Pivot
2023-01-06,씨앤지하이테크,264660,삼성전자 반도체 인프라 투자 수혜주,0,NotRated,"김경민, 이나연",한국IR협의회,씨앤지하이테크(264660) 삼성전자 반도체 인프라 투자 수혜주씨앤지하이테크는 C.C.S.S. 공급사 경쟁사 대비 혼합 장치 기술력 우수하고 일본 협력사와 우호적 협력 2022년부터 삼성전자 반도체 인프라 투자 수혜 힘입어 실적 성장
2022-12-22,삼성전자,005930,4Q22 Preview 불안정한 수요와 환율,"80,000",Buy,남대종,이베스트증권,삼성전자(005930) 4Q22 Preview: 불안정한 수요와 환율4Q22 실적 불안정한 수요와 환율 영향 증가한 재고와 타이트한 Cash Flow
2022-12-21,삼성전자,005930,4분기 총체적 수요 부진,"70,000",Buy,김운호,IBK투자증권,"삼성전자(005930) 4분기 총체적 수요 부진4분기 전방 산업 모두 기대보단 부진 반도체: 비, 디스플레이: 갬, 모바일: 비"
2022-12-20,삼성전자,005930,빛바랜 매출 300조원 이정표,"72,000",Buy,이승우,유진투자증권,삼성전자(005930) 빛바랜 매출 300조원 이정표4Q Preview: 영업이익 6.5 조원대로 부진할 전망
2022-11-22,삼성전자,005930,고질적인 저평가의 굴레를 벗을 수 있는 변화가 필요,"72,000",Buy,이승우,유진투자증권,"삼성전자(005930) 고질적인 저평가의 굴레를 벗을 수 있는 변화가 필요4 분기 영업이익 8.7 조원 예상 23 년 실적은 매출 283 조원, 영업이익 28.9 조원 예상 고질적인 저평가의 굴레를 벗을 수 있는 변화가 필요"
2022-11-21,삼성전자,005930,경쟁력 격차 복구 여부에 주목 저점 분할 매수 권고,"80,000",Buy,송명섭,하이투자증권,삼성전자(005930) 경쟁력 격차 복구 여부에 주목. 저점 분할 매수 권고경쟁력 격차 복구 여부에 주목. 저점 분할 매수 권고
2022-11-17,삼성전자,005930,공급정책변화 주주가치증대예상,"82,000",Buy,김선우,메리츠증권,삼성전자(005930) 공급정책변화+주주가치증대예상공급정책변화+주주가치증대예상
2022-11-10,삼성전자,005930,공급정책변화 주주가치증대예상,"82,000",Buy,김선우,메리츠증권,삼성전자(005930) 공급정책변화+주주가치증대예상공급정책변화+주주가치증대예상
2022-11-08,디엔에프,092070,삼성전자 DRAM 감산 지양 및 국산 소재 선호 수혜주,0,NotRated,"김경민, 이나연",한국IR협의회,디엔에프(092070) 삼성전자 DRAM 감산 지양 및 국산 소재 선호 수혜주반도체 소자 형성용 박막(薄膜) 재료 전문기업 삼성전자 메모리 반도체 사업부 전략이 디엔에프 실적에 긍정적 2022년에 이어 2023년에도 실적 증가 이어갈 것으로 전망
2022-10-28,삼성전자,005930,메모리가 실적 부진 주도,"70,000",Buy,김운호,IBK투자증권,"삼성전자(005930) 메모리가 실적 부진 주도3분기 메모리 부진. 디스플레이 호황 4분기 부진도 메모리가 주도 투자의견 매수, 목표주가 70,000원 유지"
2022-10-28,삼성전자,005930,,"72,000",Buy,이승우,유진투자증권,삼성전자(005930) 同床異夢What’s New: 가이던스와 큰 차이가 났던 3 분기 빗그로스 What’s Next: 복잡미묘한 4 분기 가이던스
2022-10-28,삼성전자,005930,격차 확대를 위한 커브길 가속,"82,000",Buy,김선우,메리츠증권,"삼성전자(005930) 격차 확대를 위한 커브길 가속3Q22 영업이익 10.9조원. 분기별 실적은 1Q23 저점 이후 완만히 상승 상대적 최선호주. 구조적 반등은 1) 메모리 전략 변화, 2) 현금활용 구체화"
2022-10-27,삼성전자,005930,3Q23 Review 불확실성에 투자하다,"80,000",Buy,남대종,이베스트증권,삼성전자(005930) 3Q23 Review: 불확실성에 투자하다3Q22 실적 부진은 메모리 수요 영향
2022-10-11,삼성전자,005930,3Q22 잠정실적 리뷰,"73,000",Buy,김광진,한화투자증권,삼성전자(005930) 3Q22 잠정실적 리뷰3Q22 잠정실적 Review : 컨센서스 하회 예상보다 좋지 않은 수요 상황. 2Q23까지 부진 지속
2022-09-30,삼성전자,005930,1Q23 부터 주가 추세 상승 예상,"72,000",Buy,송명섭,하이투자증권,삼성전자(005930) 1Q23 부터 주가 추세 상승 예상역대급으로 빠른 업황 둔화 속도 3Q22 영업이익은 11.6 조원에 그칠 듯
2022-09-20,삼성전자,005930,부전이굴,"90,000",Buy,백길현,유안타증권,"삼성전자(005930) 부전이굴(不戰而屈)투자의견 BUY, 목표주가 9만원으로 커버리지 개시 2H23 Balance → 2024년 DRAM 수요 초과 불가피"
2022-07-29,삼성전자,005930,장기 투자를 위한 저점 분할 매수 권고,"75,000",Buy,송명섭,하이투자증권,삼성전자(005930) 장기 투자를 위한 저점 분할 매수 권고부품 부문 실적이 양호했던 2Q22 3Q22 영업이익을 13.9 조원으로 전망 반도체 업계 재고 증가는 업황 회복의 과정
2022-07-29,삼성전자,005930,2H22 불확실성 확대,"80,000",Buy,"남대종,김광수",이베스트증권,"삼성전자(005930) 2H22 불확실성 확대2Q22 확정 실적에서 확인한 수요 부진 급변하는 시장 환경 투자의견 Buy 유지, 목표주가 80,000원 유지"
2022-07-29,삼성전자,005930,시험은 어렵지만 변별력은 높아진다,"83,000",Buy,이승우,유진투자증권,삼성전자(005930) 시험은 어렵지만 변별력은 높아진다2Q Review: 꽤 괜찮은 내용이 있었다 What’s Next: 3 분기 이익 증가 기대 So What? 삼성전자의 시간이 점점 다가온다
2022-07-29,삼성전자,005930,영업가치 소강 속 변화가 필요,"82,000",Buy,김선우,메리츠증권,삼성전자(005930) 영업가치 소강 속 변화가 필요2Q22 영업이익 14.1조원. 분기별 실적은 1Q23까지 완만한 하락세 예상 분기실적과 동행해온 주가. 하반기 현금활용 구체화는 주가반등 필수조건
2022-07-29,삼성전자,005930,3분기도 2분기 만큼,"88,000",Buy,김운호,IBK투자증권,"삼성전자(005930) 3분기도 2분기 만큼2분기 실적은 메모리가 주도 22년 3분기는 2분기 수준 영업이익 유지할 것 투자의견 매수, 목표주가 88,000원 유지"
2022-07-11,삼성전자,005930,저점 매수 지속 권고,"75,000",Buy,고의영,하이투자증권,삼성전자(005930) 저점 매수 지속 권고우려보다는 양호했던 2Q22 실적
2022-07-11,삼성전자,005930,2Q22 잠정 실적 시장 기대치 하회,"80,000",Buy,"남대종, 김광수",이베스트증권,"삼성전자(005930) 2Q22 잠정 실적 시장 기대치 하회2Q22 잠정 실적 시장 기대치 하회 3Q22 메모리 반도체 물량 변화가 중요 투자의견 Buy 유지, 목표주가 80,000원 유지"
2022-07-11,삼성전자,005930,낮아질 실적 전망 이미 더 낮아진 주가,"79,000",Buy,이승우,유진투자증권,"삼성전자(005930) 낮아질 실적 전망, 이미 더 낮아진 주가What’s New 예상을 하회한 2 분기 실적 What’s Ne xt : 반도체 업황 전망 점차 보수적으로 바뀌게 될 듯 So What? 낮아질 실적 전망 , 이미 더 낮아진 주가"
2022-07-11,가온칩스,399720,삼성전자 파운드리 사업 확대 수혜 기대,0,nr,박종선,유진투자증권,가온칩스(399720) 삼성전자 파운드리 사업 확대 수혜 기대현재 주가는 2022 년 기준 PER 40.5 배로 국내 유사업체 대비 할증되어 거래 중 삼성전자 파운드리 및 ARM의 시스템반도체 전문 디자인 파트너 투자포인트 두 가지
2022-06-27,삼성전자,005930,장기투자를 위한 저점매수 가능,"82,000",Buy,송명섭,하이투자증권,삼성전자(005930) 장기투자를 위한 저점매수 가능2Q22 영업이익 14.3조원 전망 주가는 기존 예상보다 부진할 2H22 업황을 이미 반영 중 CY23 업황은 우려보다는 양호할 듯
2022-06-23,삼성전자,005930,2Q22 실적 시장 기대치 하회 예상,"80,000",Buy,남대종,이베스트증권,삼성전자(005930) 2Q22 실적 시장 기대치 하회 예상2Q22 실적 시장 기대치 하회 예상
2022-06-23,삼성전자,005930,22년 2분기 눈높이 좀 더 낮게,"88,000",Buy,김운호,IBK투자증권,삼성전자(005930) 22년 2분기 눈높이 좀 더 낮게2분기 반도체 개선을 모바일이 상쇄
2022-06-20,삼성전자,005930,점점 더 거세지는 매크로 역풍,"79,000",Buy,이승우,유진투자증권,삼성전자(005930) 점점 더 거세지는 매크로 역풍What’s New : 하이 인플레이션과 자이언트 스텝 2Q Preview: 세트 사업부 부진으로 2 분기 영업이익 추정치 하향 So What? 점점 더 거세지는 매크로 역풍
