date,KoBERT_Sentiment,KoFinBERT_Sentiment,ChatGPT_Sentiment
2019-03-22,-0.2,0.7,0.5
2019-03-26,0.1,1.0,-0.4
2019-03-27,-0.1,1.0,0.2
2019-03-29,-0.2,1.0,-0.7
2019-04-01,-0.3,0.8,0.0
2019-04-04,-0.1,1.0,0.7
2019-04-08,-0.1,1.0,0.2
2019-04-15,0.0,1.0,0.7
2019-05-02,-0.1,0.9,0.5
2019-05-08,-0.3,1.0,0.5
2019-05-16,-0.3,1.0,1.0
2019-05-17,-0.3,1.0,0.5
2019-05-21,0.1,1.0,1.0
2019-05-22,-0.1,0.9,0.2
2019-05-24,-0.1,1.0,0.5
2019-05-28,-0.4,1.0,0.5
2019-05-29,0.1,1.0,0.0
2019-06-03,0.0,1.0,0.8
2019-06-04,-0.1,1.0,-0.8
2019-06-05,0.0,1.0,0.8
2019-06-11,-0.1,1.0,0.8
2019-06-12,0.1,1.0,0.7
2019-06-14,0.0,1.0,0.9
2019-06-19,0.1,0.8,0.0
2019-06-25,0.0,1.0,0.5
2019-06-27,-0.2,1.0,0.8
2019-06-28,0.0,1.0,1.0
2019-07-02,0.0,1.0,0.5
2019-07-03,0.1,1.0,0.5
2019-07-05,0.2,0.8,0.5
2019-07-08,-0.1,1.0,0.6
2019-07-09,-0.1,1.0,1.0
2019-07-11,0.0,1.0,0.8
2019-08-01,0.0,1.0,0.8
2019-08-02,-0.1,1.0,1.0
2019-08-05,0.0,0.8,0.0
2019-08-12,-0.3,1.0,1.0
2019-09-05,-0.3,1.0,1.0
2019-09-09,0.1,1.0,0.0
2019-09-19,-0.3,1.0,1.0
2019-09-27,0.1,1.0,0.5
2019-09-30,0.0,1.0,0.5
2019-10-01,0.1,1.0,0.8
2019-10-02,0.0,1.0,1.0
2019-10-10,-0.2,1.0,0.7
2019-10-15,-0.3,1.0,1.0
2019-10-16,0.0,1.0,0.5
2019-10-22,0.1,1.0,0.0
2019-10-28,-0.1,1.0,1.0
2019-11-01,-0.1,1.0,0.4
2019-11-04,0.0,1.0,0.0
2019-11-06,-0.2,1.0,0.0
2019-11-11,-0.1,1.0,1.0
2019-11-19,0.0,1.0,0.8
2019-11-21,0.1,1.0,1.0
2019-11-25,0.1,1.0,0.0
2019-11-28,0.1,1.0,0.0
2019-11-29,0.1,1.0,0.0
2019-12-11,-0.3,0.9,0.5
2019-12-19,0.0,1.0,0.0
2019-12-23,0.0,1.0,1.0
2020-01-02,0.0,1.0,1.0
2020-01-06,-0.2,1.0,1.0
2020-01-09,-0.1,1.0,0.8
2020-01-13,0.1,1.0,0.5
2020-01-14,0.0,1.0,1.0
2020-01-31,0.0,1.0,0.4
2020-02-03,0.2,1.0,0.0
2020-03-11,0.0,1.0,0.7
2020-03-16,0.0,1.0,0.0
2020-03-17,0.2,0.9,0.0
2020-03-18,-0.2,1.0,0.5
2020-03-24,0.1,1.0,0.5
2020-03-26,-0.2,1.0,-0.5
2020-03-30,-0.2,1.0,-0.5
2020-03-31,-0.2,1.0,0.4
2020-04-02,0.0,0.9,0.2
2020-04-03,0.0,1.0,-0.8
2020-04-06,-0.3,1.0,0.5
2020-04-07,-0.1,1.0,-0.1
2020-04-08,-0.1,0.9,0.5
2020-04-13,0.1,1.0,-0.7
2020-04-14,-0.3,1.0,1.0
2020-05-04,-0.1,1.0,0.4
2020-05-07,0.0,1.0,0.5
2020-05-14,0.0,1.0,0.5
2020-05-21,-0.1,0.6,1.0
2020-05-22,-0.4,1.0,1.0
2020-05-25,0.0,0.8,0.4
2020-06-01,0.1,1.0,0.0
2020-06-02,0.0,1.0,0.5
2020-06-04,-0.2,1.0,-0.5
2020-06-05,0.1,1.0,1.0
2020-06-15,-0.3,1.0,0.5
2020-06-16,0.0,1.0,1.0
2020-06-23,-0.1,1.0,1.0
2020-07-01,-0.1,1.0,1.0
2020-07-02,0.2,1.0,0.5
2020-07-03,-0.1,1.0,1.0
2020-07-08,0.0,1.0,0.6
2020-07-14,-0.1,1.0,1.0
2020-07-20,-0.3,1.0,1.0
2020-07-31,0.0,1.0,0.7
2020-08-03,-0.2,1.0,1.0
2020-08-05,-0.2,1.0,1.0
2020-09-07,0.2,1.0,1.0
2020-09-08,0.2,1.0,0.0
2020-09-14,-0.1,1.0,0.9
2020-09-16,-0.4,1.0,1.0
2020-09-24,0.0,1.0,0.8
2020-09-25,-0.2,1.0,1.0
2020-09-28,0.0,1.0,1.0
2020-10-06,0.1,1.0,0.0
2020-10-07,-0.2,1.0,0.5
2020-10-12,0.0,1.0,0.8
2020-10-13,-0.1,1.0,1.0
2020-10-14,0.0,1.0,1.0
2020-10-30,0.0,0.9,0.5
2020-11-11,0.1,0.8,0.5
2020-11-12,0.1,1.0,1.0
2020-11-17,0.1,1.0,0.8
2020-11-23,0.0,0.9,0.8
2020-11-24,-0.1,1.0,0.9
2020-11-25,0.0,1.0,1.0
2020-11-27,-0.2,1.0,0.7
2020-11-30,0.0,1.0,0.2
2020-12-03,0.0,1.0,1.0
2020-12-04,0.1,0.5,1.0
2020-12-07,0.1,1.0,0.5
2020-12-16,0.1,1.0,1.0
2020-12-17,-0.2,1.0,0.7
2020-12-18,0.1,1.0,0.5
2020-12-29,-0.1,1.0,0.5
2021-01-04,-0.1,1.0,0.8
2021-01-05,-0.1,0.8,0.2
2021-01-06,0.1,1.0,0.5
2021-01-11,0.0,1.0,0.5
2021-01-12,-0.2,0.9,-0.1
2021-01-22,-0.3,1.0,0.5
2021-01-25,0.1,1.0,0.0
2021-01-29,0.0,1.0,0.5
2021-02-01,0.1,1.0,0.0
2021-03-04,-0.1,1.0,0.8
2021-03-12,-0.2,1.0,0.0
2021-03-23,0.0,0.9,0.2
2021-03-26,0.1,1.0,0.5
2021-03-30,-0.1,1.0,0.8
2021-04-01,0.0,1.0,1.0
2021-04-05,-0.1,1.0,1.0
2021-04-08,0.0,1.0,0.6
2021-04-12,0.1,1.0,0.5
2021-04-13,0.0,1.0,1.0
2021-04-14,0.1,1.0,1.0
2021-04-30,0.0,0.9,0.6
2021-05-21,0.0,1.0,0.0
2021-05-24,0.0,1.0,0.5
2021-06-01,-0.1,0.9,0.5
2021-06-17,-0.2,1.0,0.8
2021-06-24,0.0,1.0,0.0
2021-06-29,-0.2,1.0,0.8
2021-07-01,-0.1,1.0,1.0
2021-07-08,-0.1,1.0,0.7
2021-07-12,-0.2,1.0,1.0
2021-07-30,0.0,1.0,0.7
2021-08-02,0.0,0.8,0.5
2021-08-04,0.0,1.0,1.0
2021-09-15,0.1,1.0,1.0
2021-09-27,-0.1,1.0,1.0
2021-10-01,0.1,1.0,0.5
2021-10-06,-0.2,1.0,-0.7
2021-10-12,0.0,1.0,0.1
2021-10-15,0.0,1.0,1.0
2021-10-20,0.0,0.8,0.2
2021-10-25,-0.2,1.0,1.0
2021-10-29,0.0,1.0,0.2
2021-11-01,0.0,1.0,0.5
2021-11-11,0.0,1.0,0.5
2021-11-16,0.0,1.0,0.5
2021-11-24,0.1,1.0,1.0
2021-11-30,0.0,1.0,0.0
2021-12-20,0.0,1.0,1.0
2022-01-05,-0.2,1.0,1.0
2022-01-10,0.0,1.0,0.4
2022-01-18,-0.2,1.0,-0.5
2022-01-28,0.0,0.9,0.4
2022-02-08,0.0,1.0,0.0
2022-02-09,0.1,1.0,0.0
2022-02-14,0.0,1.0,1.0
2022-03-21,-0.2,1.0,1.0
2022-04-04,0.0,1.0,0.0
2022-04-08,0.0,1.0,0.7
2022-04-12,0.1,0.9,-0.5
2022-04-13,0.0,1.0,1.0
2022-04-20,0.0,1.0,0.5
2022-04-29,-0.2,1.0,0.7
2022-05-03,0.0,1.0,0.5
2022-05-26,0.1,1.0,0.5
2022-05-30,0.0,1.0,1.0
2022-05-31,-0.4,1.0,0.8
2022-06-20,0.1,1.0,-0.7
2022-06-23,0.0,1.0,-0.4
2022-06-27,-0.1,1.0,0.5
2022-07-11,0.0,1.0,0.0
2022-07-29,-0.1,0.9,0.5
2022-09-20,0.0,1.0,1.0
2022-09-30,0.0,1.0,0.5
2022-10-11,0.0,1.0,-0.7
2022-10-27,0.1,1.0,0.0
2022-10-28,-0.2,1.0,0.2
2022-11-10,0.0,1.0,1.0
2022-11-17,0.0,1.0,1.0
2022-11-21,-0.1,1.0,0.5
2022-11-22,-0.2,1.0,0.5
2022-12-20,0.1,1.0,-0.7
2022-12-21,0.0,1.0,-0.7
2022-12-22,0.0,1.0,-0.7
2023-01-09,0.0,1.0,-0.2
2023-01-11,0.0,1.0,-0.7
2023-02-01,-0.1,1.0,0.4
2023-02-02,0.1,0.9,0.5
2023-03-14,0.0,1.0,-0.8
2023-03-15,-0.2,0.6,0.8
2023-03-20,0.1,1.0,0.0
2023-03-23,0.1,1.0,0.0
2023-03-30,-0.3,1.0,-1.0
2023-04-10,0.0,1.0,0.1
2023-04-28,-0.1,0.8,0.5
2023-05-10,0.0,1.0,1.0
2023-06-27,0.0,1.0,0.0
2023-07-10,-0.1,1.0,0.2
2023-07-28,0.0,1.0,0.2
2023-09-06,-0.1,1.0,1.0
2023-10-12,0.1,1.0,0.7
2023-11-01,0.0,1.0,0.5
2023-11-06,0.1,1.0,0.5
2023-11-08,0.1,1.0,0.5
2023-11-10,-0.2,0.8,1.0
2023-11-27,0.1,0.9,0.5
2024-01-02,-0.3,1.0,-0.5
2024-01-05,0.0,1.0,0.5
2024-01-10,0.0,1.0,-0.4
2024-02-01,0.1,0.6,0.0
2024-02-05,0.0,1.0,0.5
2024-02-26,-0.3,1.0,-0.7
2024-03-14,-0.1,1.0,0.8
2024-03-27,0.0,1.0,1.0
2024-04-01,0.0,1.0,0.5
2024-04-02,0.0,1.0,1.0
2024-04-04,0.1,1.0,1.0
2024-04-08,-0.1,1.0,0.9
2024-05-02,-0.1,1.0,0.8
2024-05-20,0.1,1.0,0.5
2024-06-12,-0.2,1.0,1.0
2024-06-24,0.0,1.0,1.0
2024-07-02,-0.2,1.0,1.0
2024-07-05,0.1,0.9,1.0
2024-08-01,0.0,1.0,0.6
2024-08-07,0.1,1.0,0.5
